"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"16004142195";"	";"6% IMPOSTO NOTA FISCAL";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16013198069";"	";"PAR LED 64 54 LEDS TRILED";"UN";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"PATRIMONIO";""
"16013202143";"	";"MESA DMX OPERATOR 512";"UN";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16013206643";"	";"APRESENTADOR DE SLIDES LOGITECH R500S";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16042086003";"	";"NOTEBOOK DELL 1583 I7";"";"";"0";"0,00";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16042087033";"	";"NOTEBOOK LENOVO E480";"";"";"0";"0,00";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16061099090";"	";"CAMERA BLACK MAGIC POCKET 4K";"1";"";"";"6.000,00";"0,00";"";"Ativo";"0,00";"6.000,00";"	";"ON9 PRODUÇÕES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"CAMERA BLACK MAGIC POCKET 4K";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"6.000,00";"0,0000";"0,0000";"0,0000";"";""
"16061099091";"	";"VILTROX";"1";"";"";"1.000,00";"0,00";"";"Ativo";"0,00";"1.000,00";"	";"ON9 PRODUÇÕES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"VILTROX";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"1.000,00";"0,0000";"0,0000";"0,0000";"";""
"16091196891";"	";"GIMBAL SCORP C";"1";"";"0";"850,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16091197092";"	";"LENTE CANON 28-80";"1";"";"0";"300,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16158344037";"	";"LIVE";"";"";"";"4.000,00";"0,00";"";"Ativo";"0,00";"4.000,00";"	";"PROMOMARK VARIEDADES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"LIVE";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"4.000,00";"0,0000";"0,0000";"0,0000";"";""
"16215238190";"10000	";"PRODUCAO VIRTUAL";"1";"";"0";"0,00";"0,00";"";"Ativo";"1,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16223176635";"	";"Cordenador";"";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"";"";"0,00";"";"0";"";"";"";"0";"";"0";"";"";"";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16240590667";"DIA 2	";"CAFE DA MANHA";"";"";"";"15,00";"0,00";"";"Ativo";"0,00";"15,00";"	DIA 2";"ON9 PRODUÇÕES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"CAFE DA MANHA";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"15,00";"0,0000";"0,0000";"0,0000";"";""
"16240590668";"6%	";"SIMPLES NACIONAL";"1";"";"0";"0,00";"0,00";"";"Ativo";"0,00";"0,00";"	";"";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"";"Própria";"";"";"Serviços";"";"6,00";"";"0";"";"";"";"0";"<p>6% DO VALOR FINAL DA NOTA FISCAL</p>";"";"";"";"";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"0,00";"0,0000";"0,0000";"0,0000";"";""
"16241296015";"	";"EXAME ASO";"";"";"";"60,00";"0,00";"";"Ativo";"0,00";"60,00";"	";"RICARDO PACHECO NUNES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"EXAME ASO";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"60,00";"0,0000";"0,0000";"0,0000";"";""
"16242635900";"	";"COMISSAO";"";"";"";"56,40";"0,00";"";"Ativo";"0,00";"56,40";"	";"RICARDO PACHECO NUNES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"COMISSAO";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"56,40";"0,0000";"0,0000";"0,0000";"";""
"16242999525";"	";"ESTACIONAMENTO";"";"";"";"44,00";"0,00";"";"Ativo";"0,00";"44,00";"	";"RICARDO PACHECO NUNES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"ESTACIONAMENTO";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"44,00";"0,0000";"0,0000";"0,0000";"";""
"16243501219";"	";"SALGADO";"";"";"";"14,00";"0,00";"";"Ativo";"0,00";"14,00";"	";"RICARDO PACHECO NUNES LTDA";"";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"SALGADO";"";"0,00";"Produto";"Terceiros";"";"";"";"";"0,00";"";"";"";"";"";"0";"";"";"";"";"0";"NÃO";"NOVO";"NÃO";"";"";"";"Centímetro";"14,00";"0,0000";"0,0000";"0,0000";"";""
